iso,SID,P_2019,GR_SID,area
vnm,11004,11280,697,1560
vnm,11007,19008,697,6395
vnm,11005,11414,697,4015
vnm,11006,15873,697,4647
vnm,11012,10904,697,4267
vnm,11011,9541,697,3988
vnm,11009,9891,697,3823
vnm,11010,9595,697,1241
vnm,11021,22139,702,1717
vnm,11029,13749,702,4775
vnm,11030,14040,702,4552
vnm,11033,11511,702,649
vnm,11034,8686,702,470
vnm,11035,16755,702,1039
vnm,11032,14683,702,4165
vnm,11036,15330,702,1559
vnm,11017,14594,698,4265
vnm,11019,11057,698,1073
vnm,11020,12666,698,985
vnm,11013,20992,698,5124
vnm,11016,15803,698,5534
vnm,11014,17681,698,5839
vnm,11015,15830,698,4580
vnm,11018,14791,698,4407
vnm,11024,14710,699,3893
vnm,11025,10073,699,3435
vnm,11028,13750,699,5473
vnm,11027,12801,699,3033
vnm,11026,12036,699,1679
vnm,11031,16732,699,3289
vnm,11022,10093,699,2758
vnm,11023,10130,699,2546
vnm,2655,10043,149,920
vnm,2498,6925,149,325
vnm,2499,15328,149,542
vnm,2568,12168,149,833
vnm,2492,12645,149,127
vnm,2495,10471,149,110
vnm,2494,5366,149,174
vnm,2491,10083,149,95
vnm,2658,6236,149,554
vnm,2496,11801,149,1044
vnm,2652,12788,149,824
vnm,2656,11217,149,891
vnm,2489,16931,149,444
vnm,2490,12371,149,118
vnm,2493,7688,149,80
vnm,2497,9431,149,323
vnm,2713,14608,158,1610
vnm,2717,10848,158,1254
vnm,2707,4351,158,320
vnm,2694,3553,158,420
vnm,2703,13476,158,1243
vnm,2710,8931,158,1143
vnm,2712,14371,158,1442
vnm,2716,16010,158,1946
vnm,2709,11630,158,1001
vnm,2702,6301,158,569
vnm,2699,7000,158,722
vnm,2696,6224,158,577
vnm,2698,5538,158,617
vnm,2697,5903,158,765
vnm,2706,4586,158,551
vnm,2715,14098,158,1541
vnm,2705,16444,158,1597
vnm,2718,13477,158,937
vnm,2711,14923,158,1186
vnm,2700,10828,158,1259
vnm,2704,5094,158,592
vnm,2693,5779,158,142
vnm,2701,5683,158,505
vnm,2695,5607,158,524
vnm,2708,9530,158,958
vnm,2714,10559,158,995
vnm,2553,9209,152,1052
vnm,2566,6848,152,1281
vnm,2551,8264,152,1012
vnm,2557,7256,152,1132
vnm,2556,9026,152,1420
vnm,2550,14823,152,4565
vnm,2545,2177,152,85
vnm,2555,6859,152,687
vnm,2561,9695,152,1007
vnm,2547,7924,152,923
vnm,2548,6413,152,768
vnm,2562,9770,152,1065
vnm,2549,9468,152,1389
vnm,2565,13757,152,1236
vnm,2560,11246,152,1662
vnm,2554,9886,152,1133
vnm,2558,10844,152,1967
vnm,2567,10686,152,1236
vnm,2552,13038,152,1791
vnm,2546,7216,152,424
vnm,2564,13878,152,1320
vnm,2563,9226,152,1384
vnm,2559,7073,152,888
vnm,2575,9813,153,1417
vnm,2574,14045,153,2861
vnm,2592,7431,153,1486
vnm,2585,6950,153,3356
vnm,2594,8477,153,3208
vnm,2581,11497,153,1845
vnm,2582,5851,153,1232
vnm,2569,9263,153,540
vnm,2595,5200,153,1155
vnm,2571,10139,153,6186
vnm,2572,10773,153,3147
vnm,2589,5581,153,2480
vnm,2588,5990,153,1040
vnm,2570,3488,153,187
vnm,2591,7724,153,12448
vnm,2586,8265,153,1320
vnm,2583,15325,153,6591
vnm,2580,7937,153,997
vnm,2573,16884,153,3888
vnm,2576,10010,153,2002
vnm,2579,6750,153,835
vnm,2577,4671,153,1210
vnm,2578,2897,153,1630
vnm,2590,6265,153,3178
vnm,2584,9239,153,5838
vnm,2593,3519,153,1070
vnm,2587,10254,153,1840
vnm,2612,8146,154,2253
vnm,2606,7713,154,2498
vnm,2596,7944,154,343
vnm,2618,5931,154,2181
vnm,2624,4885,154,5609
vnm,2611,9304,154,2046
vnm,2608,10204,154,1692
vnm,2602,4441,154,4957
vnm,2605,6609,154,6739
vnm,2607,9711,154,3582
vnm,2609,2399,154,1697
vnm,2621,6322,154,1953
vnm,2622,8798,154,3607
vnm,2616,7094,154,1196
vnm,2615,5342,154,887
vnm,2599,2695,154,6064
vnm,2600,5345,154,4550
vnm,2620,4537,154,3109
vnm,2625,11876,154,2293
vnm,2613,17889,154,4796
vnm,2603,3769,154,5537
vnm,2610,6931,154,2628
vnm,2619,8285,154,6682
vnm,2623,6451,154,4609
vnm,2617,10398,154,2238
vnm,2598,8381,154,6448
vnm,2604,16274,154,3611
vnm,2614,9646,154,1510
vnm,2601,3010,154,4404
vnm,2642,3657,155,3626
vnm,2626,4849,155,278
vnm,2641,4347,155,2204
vnm,2637,3040,155,14694
vnm,2638,5866,155,1547
vnm,2645,885,155,3787
vnm,2636,3471,155,2193
vnm,2633,2483,155,694
vnm,2644,5411,155,9698
vnm,2634,2727,155,2595
vnm,2630,2173,155,4616
vnm,2640,3344,155,1953
vnm,2646,5083,155,8078
vnm,2632,1364,155,2351
vnm,2631,2891,155,1220
vnm,2628,508,155,2598
vnm,2648,2970,155,6310
vnm,2627,4496,155,2504
vnm,2643,4332,155,8364
vnm,2647,2310,155,7617
vnm,2629,2992,155,4676
vnm,2635,1951,155,2006
vnm,2639,4244,155,3609
vnm,2529,7455,151,1386
vnm,2521,6074,151,335
vnm,2535,6941,151,844
vnm,2534,12177,151,1819
vnm,2526,4368,151,635
vnm,2532,7165,151,1169
vnm,2533,7530,151,1116
vnm,2523,3856,151,686
vnm,2541,7488,151,1417
vnm,2531,5504,151,918
vnm,2538,7030,151,1183
vnm,2543,7784,151,1108
vnm,2542,13444,151,1727
vnm,2539,8665,151,1348
vnm,2522,2820,151,186
vnm,2524,5140,151,529
vnm,2530,6787,151,1339
vnm,2528,5487,151,723
vnm,2544,8887,151,1071
vnm,2527,4886,151,744
vnm,2537,9431,151,1051
vnm,2525,7702,151,1237
vnm,2540,9927,151,1613
vnm,2536,8877,151,1090
vnm,2674,8261,157,492
vnm,2682,8399,157,631
vnm,2684,9906,157,606
vnm,2688,19994,157,767
vnm,2680,10864,157,1197
vnm,2679,14218,157,1988
vnm,2675,9889,157,718
vnm,2678,11163,157,1613
vnm,2689,8865,157,959
vnm,2687,10671,157,675
vnm,2692,13701,157,993
vnm,2681,8201,157,999
vnm,2686,10275,157,565
vnm,2676,9209,157,1203
vnm,2685,11816,157,1604
vnm,2683,10781,157,1432
vnm,2691,8326,157,264
vnm,2690,9013,157,1193
vnm,2677,10840,157,1381
vnm,2669,6398,156,806
vnm,2673,8467,156,1429
vnm,2672,6618,156,994
vnm,2668,7584,156,1098
vnm,2653,10531,156,1018
vnm,2664,6894,156,880
vnm,2651,3546,156,455
vnm,2659,7965,156,932
vnm,2649,7681,156,762
vnm,2667,6042,156,1287
vnm,2657,6024,156,898
vnm,2654,4328,156,569
vnm,2650,6775,156,573
vnm,2662,6254,156,897
vnm,2671,2567,156,510
vnm,2666,7696,156,1091
vnm,2660,8529,156,1286
vnm,2663,4760,156,1137
vnm,2670,8832,156,1277
vnm,2661,7927,156,1009
vnm,2665,15204,156,2340
vnm,2517,4293,150,987
vnm,2501,3789,150,135
vnm,2520,6156,150,707
vnm,2500,3805,150,255
vnm,2503,6070,150,4424
vnm,2507,4926,150,2618
vnm,2516,5559,150,924
vnm,2512,4034,150,750
vnm,2508,2433,150,808
vnm,2502,3804,150,4844
vnm,2506,4747,150,2907
vnm,2513,7812,150,3337
vnm,2511,3850,150,1039
vnm,2515,5226,150,861
vnm,2518,4671,150,847
vnm,2509,3533,150,1099
vnm,2505,6292,150,3827
vnm,2514,4112,150,943
vnm,2519,4487,150,788
vnm,2510,4409,150,2375
vnm,2504,5951,150,3084
vnm,692,2198,45,1215
vnm,690,818,45,8396
vnm,684,2366,45,16082
vnm,694,1763,45,6155
vnm,691,1668,45,1545
vnm,686,2214,45,3665
vnm,693,1970,45,3736
vnm,689,1830,45,6046
vnm,679,1755,45,134
vnm,680,1515,45,2626
vnm,688,1811,45,976
vnm,695,1909,45,4107
vnm,682,1585,45,3462
vnm,687,1460,45,1734
vnm,685,1820,45,1547
vnm,681,2090,45,2639
vnm,683,1562,45,4840
vnm,653,2830,43,7553
vnm,656,3620,43,4900
vnm,657,1900,43,3058
vnm,652,4288,43,580
vnm,663,2993,43,4434
vnm,661,3362,43,3905
vnm,667,2754,43,7365
vnm,655,2700,43,5076
vnm,666,1262,43,4458
vnm,658,4022,43,5519
vnm,665,3397,43,7207
vnm,659,2307,43,7584
vnm,654,3126,43,7915
vnm,664,3374,43,6988
vnm,660,3227,43,4100
vnm,662,2373,43,4984
vnm,701,1626,46,8207
vnm,711,1487,46,4230
vnm,696,6865,46,3228
vnm,703,2490,46,6313
vnm,716,3064,46,8221
